Date,Open,High,Low,Close,Adj Close,Volume
2018-01-01,52.932400,52.932400,52.932400,52.932400,52.932400,0
2018-01-02,52.837200,52.837200,52.837200,52.837200,52.837200,0
2018-01-03,52.772202,52.772202,52.772202,52.772202,52.772202,0
2018-01-04,52.870201,52.870201,52.870201,52.870201,52.870201,0
2018-01-05,53.100601,53.100601,53.100601,53.100601,53.100601,0
2018-01-08,53.647400,53.647400,53.647400,53.647400,53.647400,0
2018-01-09,53.633801,53.633801,53.633801,53.633801,53.633801,0
2018-01-10,54.265900,54.265900,54.265900,54.265900,54.265900,0
2018-01-11,54.621101,54.621101,54.621101,54.621101,54.621101,0
2018-01-12,54.787498,54.787498,54.787498,54.787498,54.787498,0
2018-01-15,54.528301,54.528301,54.528301,54.528301,54.528301,0
2018-01-16,55.422901,55.422901,55.422901,55.422901,55.422901,0
2018-01-17,55.995899,55.995899,55.995899,55.995899,55.995899,0
2018-01-18,55.948502,55.948502,55.948502,55.948502,55.948502,0
2018-01-19,56.933498,56.933498,56.933498,56.933498,56.933498,0
2018-01-22,57.689800,57.689800,57.689800,57.689800,57.689800,0
2018-01-23,58.760502,58.760502,58.760502,58.760502,58.760502,0
2018-01-24,59.207199,59.207199,59.207199,59.207199,59.207199,0
2018-01-25,59.001202,59.001202,59.001202,59.001202,59.001202,0
2018-01-29,59.628601,59.628601,59.628601,59.628601,59.628601,0
2018-01-30,59.262199,59.262199,59.262199,59.262199,59.262199,0
2018-01-31,58.936199,58.936199,58.936199,58.936199,58.936199,0
2018-02-01,58.940800,58.940800,58.940800,58.940800,58.940800,0
2018-02-02,58.513901,58.513901,58.513901,58.513901,58.513901,0
2018-02-05,58.087700,58.087700,58.087700,58.087700,58.087700,0
2018-02-06,56.391499,56.391499,56.391499,56.391499,56.391499,0
2018-02-07,56.660801,56.660801,56.660801,56.660801,56.660801,0
2018-02-08,58.080002,58.080002,58.080002,58.080002,58.080002,0
2018-02-09,57.750198,57.750198,57.750198,57.750198,57.750198,0
2018-02-12,57.742901,57.742901,57.742901,57.742901,57.742901,0
2018-02-14,58.172298,58.172298,58.172298,58.172298,58.172298,0
2018-02-15,58.069000,58.069000,58.069000,58.069000,58.069000,0
2018-02-16,57.850300,57.850300,57.850300,57.850300,57.850300,0
2018-02-19,57.289200,57.289200,57.289200,57.289200,57.289200,0
2018-02-20,57.605000,57.605000,57.605000,57.605000,57.605000,0
2018-02-21,58.603298,58.603298,58.603298,58.603298,58.603298,0
2018-02-22,58.766300,58.766300,58.766300,58.766300,58.766300,0
2018-02-23,59.229599,59.229599,59.229599,59.229599,59.229599,0
2018-02-26,59.139599,59.139599,59.139599,59.139599,59.139599,0
2018-02-27,59.180401,59.180401,59.180401,59.180401,59.180401,0
2018-02-28,59.710899,59.710899,59.710899,59.710899,59.710899,0
2018-03-01,59.329498,59.329498,59.329498,59.329498,59.329498,0
2018-03-05,59.293598,59.293598,59.293598,59.293598,59.293598,0
2018-03-06,58.807800,58.807800,58.807800,58.807800,58.807800,0
2018-03-07,58.628899,58.628899,58.628899,58.628899,58.628899,0
2018-03-08,58.812801,58.812801,58.812801,58.812801,58.812801,0
2018-03-09,59.045502,59.045502,59.045502,59.045502,59.045502,0
2018-03-12,59.645302,59.645302,59.645302,59.645302,59.645302,0
2018-03-13,59.406399,59.406399,59.406399,59.406399,59.406399,0
2018-03-14,59.495602,59.495602,59.495602,59.495602,59.495602,0
2018-03-15,59.227901,59.227901,59.227901,59.227901,59.227901,0
2018-03-16,58.991600,58.991600,58.991600,58.991600,58.991600,0
2018-03-19,58.083099,58.083099,58.083099,58.083099,58.083099,0
2018-03-20,58.720200,58.720200,58.720200,58.720200,58.720200,0
2018-03-21,58.788399,58.788399,58.788399,58.788399,58.788399,0
2018-03-22,58.444599,58.444599,58.444599,58.444599,58.444599,0
2018-03-23,58.410198,58.410198,58.410198,58.410198,58.410198,0
2018-03-26,58.071400,58.071400,58.071400,58.071400,58.071400,0
2018-03-27,58.440601,58.440601,58.440601,58.440601,58.440601,0
2018-03-28,57.902901,57.902901,57.902901,57.902901,57.902901,0
2018-04-02,58.430599,58.430599,58.430599,58.430599,58.430599,0
2018-04-03,58.151501,58.151501,58.151501,58.151501,58.151501,0
