Date,Open,High,Low,Close,Adj Close,Volume
2021-11-01,44.820599,44.820599,44.820599,44.820599,44.820599,0
2021-11-02,45.392300,45.392300,45.392300,45.392300,45.392300,0
2021-11-03,45.119202,45.119202,45.119202,45.119202,45.119202,0
2021-11-04,null,null,null,null,null,null
2021-11-08,46.033001,46.033001,46.033001,46.033001,46.033001,0
2021-11-09,46.251900,46.251900,46.251900,46.251900,46.251900,0
2021-11-10,46.235001,46.235001,46.235001,46.235001,46.235001,0
2021-11-11,45.993900,45.993900,45.993900,45.993900,45.993900,0
2021-11-12,46.301399,46.301399,46.301399,46.301399,46.301399,0
2021-11-15,46.153801,46.153801,46.153801,46.153801,46.153801,0
2021-11-16,45.999901,45.999901,45.999901,45.999901,45.999901,0
2021-11-17,45.865700,45.865700,45.865700,45.865700,45.865700,0
2021-11-18,45.258900,45.258900,45.258900,45.258900,45.258900,0
2021-11-22,44.160000,44.160000,44.160000,44.160000,44.160000,0
2021-11-23,44.749699,44.749699,44.749699,44.749699,44.749699,0
2021-11-24,45.118198,45.118198,45.118198,45.118198,45.118198,0
2021-11-25,45.479500,45.479500,45.479500,45.479500,45.479500,0
2021-11-26,44.093102,44.093102,44.093102,44.093102,44.093102,0
2021-11-29,43.490200,43.490200,43.490200,43.490200,43.490200,0
2021-11-30,43.931198,43.931198,43.931198,43.931198,43.931198,0
2021-12-01,44.272900,44.272900,44.272900,44.272900,44.272900,0
2021-12-02,44.641800,44.641800,44.641800,44.641800,44.641800,0
2021-12-03,44.731098,44.731098,44.731098,44.731098,44.731098,0
2021-12-06,44.169498,44.169498,44.169498,44.169498,44.169498,0
2021-12-07,44.809601,44.809601,44.809601,44.809601,44.809601,0
2021-12-08,45.432098,45.432098,45.432098,45.432098,45.432098,0
2021-12-09,45.508900,45.508900,45.508900,45.508900,45.508900,0
2021-12-10,45.621101,45.621101,45.621101,45.621101,45.621101,0
2021-12-13,45.553001,45.553001,45.553001,45.553001,45.553001,0
2021-12-14,45.455101,45.455101,45.455101,45.455101,45.455101,0
2021-12-15,45.152500,45.152500,45.152500,45.152500,45.152500,0
2021-12-16,44.924801,44.924801,44.924801,44.924801,44.924801,0
2021-12-17,44.270302,44.270302,44.270302,44.270302,44.270302,0
2021-12-20,43.253502,43.253502,43.253502,43.253502,43.253502,0
2021-12-21,43.725101,43.725101,43.725101,43.725101,43.725101,0
2021-12-22,44.420799,44.420799,44.420799,44.420799,44.420799,0
2021-12-23,44.767300,44.767300,44.767300,44.767300,44.767300,0
2021-12-24,44.571499,44.571499,44.571499,44.571499,44.571499,0
2021-12-27,44.531101,44.531101,44.531101,44.531101,44.531101,0
2021-12-28,44.937500,44.937500,44.937500,44.937500,44.937500,0
2021-12-29,45.002800,45.002800,45.002800,45.002800,45.002800,0
2021-12-30,44.984200,44.984200,44.984200,44.984200,44.984200,0
2021-12-31,45.343800,45.343800,45.343800,45.343800,45.343800,0
2022-01-03,45.981701,45.981701,45.981701,45.981701,45.981701,0
2022-01-04,46.372002,46.372002,46.372002,46.372002,46.372002,0
2022-01-05,46.422001,46.422001,46.422001,46.422001,46.422001,0
2022-01-06,46.124298,46.124298,46.124298,46.124298,46.124298,0
2022-01-07,46.119202,46.119202,46.119202,46.119202,46.119202,0
2022-01-10,46.601700,46.601700,46.601700,46.601700,46.601700,0
2022-01-11,46.762600,46.762600,46.762600,46.762600,46.762600,0
2022-01-12,47.169498,47.169498,47.169498,47.169498,47.169498,0
2022-01-13,47.301998,47.301998,47.301998,47.301998,47.301998,0
2022-01-14,47.252300,47.252300,47.252300,47.252300,47.252300,0
2022-01-17,47.248798,47.248798,47.248798,47.248798,47.248798,0
2022-01-18,46.789200,46.789200,46.789200,46.789200,46.789200,0
2022-01-19,46.553200,46.553200,46.553200,46.553200,46.553200,0
2022-01-20,46.419201,46.419201,46.419201,46.419201,46.419201,0
2022-01-21,45.768101,45.768101,45.768101,45.768101,45.768101,0
2022-01-24,44.285400,44.285400,44.285400,44.285400,44.285400,0
2022-01-25,44.914799,44.914799,44.914799,44.914799,44.914799,0
2022-01-27,44.664700,44.664700,44.664700,44.664700,44.664700,0
2022-01-28,44.769798,44.769798,44.769798,44.769798,44.769798,0
2022-01-31,45.332001,45.332001,45.332001,45.332001,45.332001,0
2022-02-01,45.763599,45.763599,45.763599,45.763599,45.763599,0
2022-02-02,46.414398,46.414398,46.414398,46.414398,46.414398,0
2022-02-03,46.291000,46.291000,46.291000,46.291000,46.291000,0
2022-02-04,46.136902,46.136902,46.136902,46.136902,46.136902,0
2022-02-07,45.437000,45.437000,45.437000,45.437000,45.437000,0
2022-02-08,45.151501,45.151501,45.151501,45.151501,45.151501,0
2022-02-09,45.521801,45.521801,45.521801,45.521801,45.521801,0
2022-02-10,45.667198,45.667198,45.667198,45.667198,45.667198,0
2022-02-11,45.022598,45.022598,45.022598,45.022598,45.022598,0
2022-02-14,43.592701,43.592701,43.592701,43.592701,43.592701,0
2022-02-15,44.476299,44.476299,44.476299,44.476299,44.476299,0
2022-02-16,44.506302,44.506302,44.506302,44.506302,44.506302,0
2022-02-17,44.363201,44.363201,44.363201,44.363201,44.363201,0
2022-02-18,44.147598,44.147598,44.147598,44.147598,44.147598,0
2022-02-21,43.943901,43.943901,43.943901,43.943901,43.943901,0
2022-02-22,43.514500,43.514500,43.514500,43.514500,43.514500,0
2022-02-23,43.601200,43.601200,43.601200,43.601200,43.601200,0
2022-02-24,41.884300,41.884300,41.884300,41.884300,41.884300,0
2022-02-25,42.930801,42.930801,42.930801,42.930801,42.930801,0
2022-02-28,42.989399,42.989399,42.989399,42.989399,42.989399,0
2022-03-02,42.765400,42.765400,42.765400,42.765400,42.765400,0
2022-03-03,42.694500,42.694500,42.694500,42.694500,42.694500,0
2022-03-04,42.152802,42.152802,42.152802,42.152802,42.152802,0
2022-03-07,41.684502,41.684502,41.684502,41.684502,41.684502,0
2022-03-08,42.029301,42.029301,42.029301,42.029301,42.029301,0
2022-03-09,42.610901,42.610901,42.610901,42.610901,42.610901,0
2022-03-10,43.061798,43.061798,43.061798,43.061798,43.061798,0
2022-03-11,43.255501,43.255501,43.255501,43.255501,43.255501,0
2022-03-14,43.530102,43.530102,43.530102,43.530102,43.530102,0
2022-03-15,43.028099,43.028099,43.028099,43.028099,43.028099,0
2022-03-16,43.691799,43.691799,43.691799,43.691799,43.691799,0
2022-03-17,44.140301,44.140301,44.140301,44.140301,44.140301,0
2022-03-21,44.020599,44.020599,44.020599,44.020599,44.020599,0
2022-03-22,44.238098,44.238098,44.238098,44.238098,44.238098,0
2022-03-23,44.042900,44.042900,44.042900,44.042900,44.042900,0
2022-03-24,44.076698,44.076698,44.076698,44.076698,44.076698,0
2022-03-25,44.021702,44.021702,44.021702,44.021702,44.021702,0
2022-03-28,44.121498,44.121498,44.121498,44.121498,44.121498,0
2022-03-29,44.344200,44.344200,44.344200,44.344200,44.344200,0
2022-03-30,44.643700,44.643700,44.643700,44.643700,44.643700,0
2022-03-31,44.739201,44.739201,44.739201,44.739201,44.739201,0
2022-04-01,45.292301,45.292301,45.292301,45.292301,45.292301,0
2022-04-04,45.910801,45.910801,45.910801,45.910801,45.910801,0
2022-04-05,46.173401,46.173401,46.173401,46.173401,46.173401,0
2022-04-06,46.202599,46.202599,46.202599,46.202599,46.202599,0
2022-04-07,46.180500,46.180500,46.180500,46.180500,46.180500,0
2022-04-08,46.818199,46.818199,46.818199,46.818199,46.818199,0
2022-04-11,46.918201,46.918201,46.918201,46.918201,46.918201,0
2022-04-12,46.611099,46.611099,46.611099,46.611099,46.611099,0
